Name,Start,End,Type,Series,Attending,Link,,,,,
Roar,1/17/2025,1/19/2025,IMSA,Michelin Pilot Challenge,,,,,,,
Daytona 24,1/22/2025,1/26/2025,IMSA,Michelin Pilot Challenge,,,,,,,
Sebring 12,3/12/2025,3/16/2025,IMSA,Lambroghini Super Trofeo,,,,,,,
Road America,4/24/2025,4/27/2025,WRL,GTO,,,,,,willowsprings,
Laguna ,5/1/2025,5/4/2025,Trans Am,Lambroghini Super Trofeo,,,,,,button willow,
Laguna ,5/8/2025,5/11/2025,IMSA,Lambroghini Super Trofeo,,,,,,chuckwalla,
Laguna ,5/16/2025,5/18/2025,Coaching,N/A,,,,,,thunderhill,
Sonoma,5/17/2025,5/18/2025,Coaching,N/A,,,,,,,
Sonoma,5/23/2025,5/23/2025,Coaching,N/A,,,,,,,
Sonoma,5/23/2025,5/24/2025,Coaching,N/A,,,,,,,
Laguna ,5/25/2025,5/25/2025,Coaching,N/A,,,,,,Laps for laguna?,Ride alongs
Sonoma,5/31/2025,6/1/2025,Coaching,N/A,,,,,,Gridlife,lap records
Mid-Ohio,6/5/2025,6/8/2025,IMSA,Michelin Pilot Challenge,,,,,,,
Laguna ,6/12/2025,6/12/2025,Coaching,N/A,,https://www.fasttoysclub.com/fast-toys-track-days/,,,,,
Watkins Glen,6/19/2025,6/22/2025,IMSA,Lambroghini Super Trofeo,,,,,,,
Sonoma - HPDE + Race Testing,6/20/2025,6/20/2025,Coaching,NASA,,,,,,,
Sonoma ,6/21/2025,6/22/2025,Coaching,NASA,,,,,,,
Laguna - Corkscerw Classic,6/20/2025,6/22/2025,Coaching,CSRG,,,,,,,
F1 Movie Release,6/27/2025,6/27/2025,Coaching,,,,,,,,
Thunderhill 5 mile,6/27/2025,6/27/2025,Driving,,,,,,,,
Laguna SCCA,6/27/2025,6/27/2025,Coaching,SCCA,,,,,,,
Streets of Willow,6/28/2025,6/28/2025,Coaching,,,https://speedventures.com/Events/Detail.aspx?id=1009,,, ,,
Laguna SCCA,6/28/2025,6/29/2025,Coaching,SCCA,,,,,,,
Thunderhill,6/29/2025,6/29/2025,Coaching,,,,,,,,
Sonoma PCA DE,6/28/2025,6/28/2025,Coaching,,,,,,,,
Sonoma PCA ,6/29/2025,6/30/2025,Coaching,,,,,,,,
Laguna ,6/30/2025,6/30/2025,Coaching,N/A,,,,,,,
Buttonwillow,7/5/2025,7/5/2025,,,,,,,,,
Laguna,7/5/2025,7/6/2025,Coaching,N/A,,,,,,,
Sonoma,7/11/2025,7/13/2025,Specatator,NASCAR,,,,,,,
Laguna,7/12/2025,7/13/2025,Specatator,Moto,,,,,,,
Sonoma,7/16/2025,7/16/2025,Driving,,,,,,,,
Laguna ,7/18/2025,7/18/2025,Coaching,N/A,,,,,,,
Sonoma,7/19/2025,7/20/2025,Coaching,N/A,,,,,,,
Laguna,7/19/2025,7/20/2025,Coaching,,,,,,,,
Buttonwillow Classic,7/26/2025,7/27/2025,Drive,,,,,,,,
Indy Laguna,7/25/2025,7/27/2025,Specatator,,,,,,,,
Road Atlanta,7/24/2025,7/27/2025,WRL,GTO,,,,,,,
Thunderhill 3 Mile,7/31/2025,8/1/2025,Coaching,,,,,,,,
Road America,7/31/2025,8/3/2025,IMSA,Lambroghini Super Trofeo,,,,,,,
Sonoma,8/6/2025,8/10/2025,Coaching,,,https://www.motorsportreg.com/events/xtreme-xperience-sonoma-raceway-931198,,,,,
Monterey Pre-Reunion and Corkscrew Hillclimb,8/9/2025,8/10/2025,Everything,Supra?,,https://form.fillout.com/t/neYkhj2erius,,,,,
Monterey Car Week,8/8/2025,8/13/2025,Everything,N/A,,,,,,,
Rolex Monterey Motorsports Reunion,8/13/2025,8/16/2025,Everything,N/A,,,,,,,
VIR,8/21/2025,8/24/2025,IMSA,Michelin Pilot Challenge,0,,,,,,
Laguna Seca,8/22/2025,8/24/2025,Coaching,Porsche Owners Club,1,,,,,,
Porsche Owners Club Sim @ Laguna Seca,8/25/2025,8/25/2025,Sim,Porsche Owners Club,1,,,,,,
Road America,8/26/2025,8/31/2025,Porsche,Porsche Club of America,1,,,,,,
Laguna Seca,8/28/2025,8/28/2025,Coaching,N/A,0,,,,,,
Laguna Seca,8/31/2025,8/31/2025,Coaching,N/A,0,,,,,,
Daytona Roar,1/16/2026,1/18/2026,IMSA,IMSA,1,,,,,,
Daytona 24,1/21/2026,1/25/2026,IMSA,IMSA,1,,,,,,
Road Atlanta,3/12/2026,3/15/2026,TransAm,TransAm,2,,,,,,
Sebring 12hr,3/18/2026,3/21/2026,IMSA,IMSA,1,,,,,,
Sonoma,3/27/2026,3/29/2026,SRO,SRO,1,,,,,,
Long Beach,4/17/2026,4/18/2026,IMSA,IMSA,1,,,,,,
Sonoma,4/23/2026,4/26/2026,TransAm,TransAm,2,,,,,,
Circuit of the Americas,4/24/2026,4/26/2026,SRO,SRO,1,,,,,,
Laguna,5/1/2026,5/3/2026,IMSA,IMSA,1,,,,,,
Sebring ,5/15/2026,5/17/2026,SRO,SRO,1,,,,,,
Detroit GP,5/29/2026,5/30/2026,IMSA,IMSA,1,,,,,,
Road Atlanta,6/12/2026,6/14/2026,SRO,SRO,1,,,,,,
Indy,6/18/2026,6/21/2026,TransAm,TransAm,1,,,,,,
Road America,6/25/2026,6/28/2026,TransAm,TransAm,2,,,,,,
Watkins Glen,6/25/2026,6/28/2026,IMSA,IMSA,1,,,,,,
Canada Tire,7/10/2026,7/12/2026,IMSA,IMSA,0,,,,,,
Road America,7/30/2026,8/2/2026,IMSA,IMSA,1,,,,,,
VIR,8/20/2026,8/23/2026,IMSA,IMSA,1,,,,,,
Road America,8/28/2026,8/30/2026,SRO,SRO,1,,,,,,
Indy,9/18/2026,9/20/2026,IMSA,IMSA,1,,,,,,
Barber,9/25/2026,9/27/2026,SRO,SRO,1,,,,,,
Laguna,10/2/2026,10/4/2026,TransAm,TransAm,2,,,,,,
Road ATL,10/1/2026,10/3/2026,IMSA,IMSA,1,,,,,,
Indy,10/8/2026,10/11/2026,SRO,SRO,1,,,,,,